"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"phi",0.803862164129667,0.000191821961217335,0.0273938044459881,0.750111653084866,0.785652584903612,0.803868534705295,0.822090049613549,0.858229431721142,20394.2645416659,1.00004829107984
"alpha",2.35696689642284,0.00233618621108406,0.333398559001457,1.69511585802198,2.1346531265672,2.35661859450071,2.57879084354282,3.01168319579991,20366.3181753031,1.00004994632257
"ln_pred[1]",12.1188439360136,6.16152250030664e-05,0.0123355549250832,12.0946541236089,12.1105137902799,12.1188698246588,12.1271603683087,12.1431158292483,40081.2544255953,1.00003896043958
"ln_pred[2]",12.6132352444393,0.000127910346882904,0.0204669437906795,12.5729912203184,12.5996532551682,12.6132057243256,12.6269783519425,12.6533042822582,25603.2230824024,1.00002248646364
"ln_pred[3]",12.3193995073897,7.42007656049557e-05,0.0138539732085164,12.2918826920307,12.3099939454593,12.319339335247,12.3287633992089,12.3465085016873,34860.3637278503,1.00002104820588
"ln_pred[4]",12.2951389475042,7.10336351420404e-05,0.0134964908125718,12.2683626899673,12.2859841658636,12.295107885735,12.3042328117293,12.3215683734343,36100.5356851447,1.00002211540884
"ln_pred[5]",12.6379941991035,0.000133122840731337,0.0211466389634697,12.5964739208448,12.6239440024216,12.6379328666889,12.6521499803424,12.6794884608891,25233.5031914375,1.00002306706221
"ln_pred[6]",12.5158794976469,0.000108087799310129,0.0179299468322992,12.4806620895629,12.5039285584547,12.515856260406,12.5279319929012,12.5508178550629,27517.2262255652,1.00002041898558
"ln_pred[7]",12.0501137212813,6.42529407942112e-05,0.0126503436782493,12.0251565268087,12.0415569412474,12.050148383852,12.0586192085124,12.0749118719252,38763.1114041315,1.00004757603654
"ln_pred[8]",11.9281999850972,7.87672499134681e-05,0.0141765132316498,11.9003680744881,11.918674812473,11.9282166744071,11.9377232769039,11.9560396454286,32392.7254178251,1.00005924330738
"ln_pred[9]",12.0492616271876,6.43062989370939e-05,0.0126569174791337,12.024291163652,12.0406967776632,12.049292437217,12.0577654068744,12.0740722423394,38739.0411478657,1.00004767780306
"ln_pred[10]",11.9036902279782,8.26080692146431e-05,0.0146072686763912,11.8750833843671,11.8938834843832,11.9037157717512,11.9134834252053,11.9323011259745,31267.4951934548,1.00006078863949
"ln_pred[11]",11.7831832507428,0.000104209008430925,0.0171647154459394,11.7494418910875,11.7717341325768,11.7831806435437,11.794644774378,11.81687624843,27130.8055830226,1.00006511057131
"ln_pred[12]",12.109125242701,6.17806105328817e-05,0.0123536259889483,12.0849074626797,12.1007648495003,12.1091362522501,12.1174782776467,12.1333929943904,39983.8404607505,1.00004019720927
"ln_pred[13]",12.1890130644149,6.25178794816543e-05,0.0124681370886597,12.1647394105294,12.1806034373257,12.1889986307379,12.1974740238893,12.2134003226072,39773.5778246603,1.00003058503729
"ln_pred[14]",12.2234665967118,6.42674148695213e-05,0.0126986278700423,12.1985581531066,12.2148904588194,12.2234946694522,12.232082821195,12.2483352946533,39041.9886714281,1.00002716412855
"ln_pred[15]",12.4004127363778,8.67405083448683e-05,0.015312938354474,12.3702101520881,12.3901216367077,12.4004182331909,12.4107795872065,12.430368686673,31165.4313601179,1.00001943046403
