"","s.names","mape","rmse","rsq"
"1","1977+ (all years)",20.0527643516392,61253.3253783022,0.491934245875474
"2","Last 20 years",19.1842469831668,49812.0555124142,0.646963690589967
"3","Last 10 years",21.6503684729633,40074.8786792609,0.0020959505321283
