"","s.names","mape","rmse","rsq"
"1","1977+ (all years)",24.1629395595151,64799.371232686,0.429448117337343
"2","Last 20 years",24.3747423173134,56687.5334329656,0.548156916426093
"3","Last 10 years",25.5368978614596,49316.6081825439,-0.478619739598935
