Brood Year,Escapement,0.2,1.1,0.3,1.2,2.1,0.4,1.3,2.2,1.4,2.3,1.5,2.4,1.6,2.5
2006,229952.5262,0,81.16421978,67.90679402,23290.48981,67.90679402,0,45956.43683,106.2743053,23118.08773,449.9507719,830.1003473,94.57252162,0,0
2007,151901.5286,0,202.0515382,0,28841.71328,0,0,40892.23458,0,47102.03769,236.4313041,814.021336,0,0,0
2008,116085.6892,0,261.9041569,0,9623.95664,0,0,27063.33509,75.06230469,30082.8357,352.5965301,444.9746381,0.944455049,0,0
2009,107168.4336,44.97453406,0,0,12862.28356,75.06230469,0,32841.92815,482.3179719,24051.87091,359.5391481,4.725,1.05,0,76.82673868
2010,45384.09544,0,94.57252162,0,14507.93349,0,122.0325747,43896.95899,764.8417358,16440.42948,358.2705004,17.2779449,99.44,0,0
2011,50569.50067,0,2861.374054,0,55031.02891,2.361137624,0,75498.33913,233.2000005,28683.40031,204.9670564,111.8535289,0,0,0
2012,51518.24626,64.5270899,803.9082065,0,36054.74676,0,0,59962.71636,164.6260007,22412.98819,52.57993304,77.008,325.7382784,0,0
2013,41027.23827,0,1914.951739,0,41357.9335,0,124.3592297,59384.62315,124.3592297,35024.22537,1.126,0,0,0,0
2014,70330.44552,0,1084.567512,0,50685.67527,0,1.126,72443.53722,37.941,0,0,0,0,0,0
2015,108973.7038,0,3196.792638,239.275,109814.6543,88.391,0,0,0,0,0,0,0,0,0
2016,99257.40232,30.3528,9024.50588,0,0,0,0,0,0,0,0,0,0,0,0
2017,115007.3643,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,113403.6842,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,188483.448,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,,,,,,,,,,,,,,,
